treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78
0,38,9,0,0,1,1,14418.240234375,25243.55078125,25564.669921875
0,21,13,0,0,0,0,10027.5302734375,10242.4404296875,15473.26953125
0,46,8,1,0,1,1,25862.3203125,25243.55078125,25416.900390625
0,27,13,0,0,1,0,25862.3203125,25243.55078125,0.0
0,32,11,1,0,1,1,15680.009765625,17745.6796875,13397.0703125
0,40,12,0,0,0,0,22002.5703125,20298.6796875,23506.19921875
0,16,9,0,0,0,1,0.0,0.0,0.0
0,28,13,0,0,1,0,0.0,0.0,0.0
0,36,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,28,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,19,12,0,0,1,0,6044.337890625,7257.9677734375,17972.109375
0,22,10,0,0,1,1,4408.35009765625,6937.5,9550.546875
0,55,12,0,0,1,0,21883.05078125,17178.150390625,17236.19921875
0,16,9,0,0,0,1,0.0,0.0,7638.369140625
0,31,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,29,16,0,0,1,0,23622.880859375,23141.7109375,22502.8203125
0,49,14,0,0,1,0,25862.3203125,24205.16015625,25564.669921875
0,40,8,0,0,1,1,12919.41015625,4679.90283203125,18136.140625
0,33,12,0,0,1,0,20466.5,20116.060546875,19132.130859375
0,23,16,0,0,1,0,1177.51904296875,6285.8232421875,9102.7958984375
0,34,12,0,0,1,0,24050.0,24443.26953125,16328.8798828125
0,29,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,27,18,0,0,0,0,2284.5048828125,0.0,0.0
0,54,13,0,0,1,0,25862.3203125,25243.55078125,0.0
0,29,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,29,11,1,0,1,1,15423.349609375,12668.3203125,14979.7099609375
0,39,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,18,12,0,0,0,0,0.0,1663.2099609375,21610.26953125
0,39,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,20,12,0,0,1,0,14798.33984375,14793.4404296875,17187.439453125
0,49,12,0,0,1,0,24812.150390625,23202.580078125,21153.66015625
0,34,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,37,10,0,0,1,1,18863.8203125,18345.439453125,25187.849609375
0,52,13,0,0,0,0,25862.3203125,25243.55078125,25564.669921875
0,52,3,0,0,1,1,20070.73046875,22880.3203125,25564.669921875
0,27,18,0,0,0,0,0.0,4586.80615234375,15247.1796875
0,19,8,1,0,0,1,1931.8370361328125,1554.0,8572.2919921875
0,29,12,0,0,0,0,25862.3203125,24622.310546875,22603.310546875
0,29,18,0,0,1,0,10329.25,3580.64501953125,678.2764892578125
0,17,10,0,0,0,1,0.0,0.0,17024.890625
0,24,16,0,0,0,0,2253.156982421875,1586.2259521484375,12200.1103515625
0,16,10,0,0,0,1,0.0,984.6774291992188,0.0
0,32,14,0,0,0,0,11060.0595703125,12557.3203125,17021.9296875
0,18,12,0,0,0,0,0.0,256.01611328125,0.0
0,17,11,0,0,0,1,2662.64404296875,2973.72607421875,0.0
0,28,8,0,0,1,1,0.0,0.0,0.0
0,20,12,0,0,0,0,4233.97607421875,2610.2900390625,6688.18994140625
0,28,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,17,10,0,0,0,1,0.0,911.274169921875,5900.56201171875
0,20,12,0,0,0,0,1126.5780029296875,1036.5970458984375,2382.094970703125
0,50,8,0,0,1,1,25862.3203125,12122.26953125,25564.669921875
0,32,12,0,0,1,0,19880.6796875,14113.1103515625,22621.0390625
0,25,16,0,0,1,0,14506.41015625,16918.55078125,18885.349609375
0,20,12,0,0,0,0,3324.8759765625,9490.5,15092.01953125
0,22,14,0,0,0,0,0.0,0.0,7268.93701171875
0,33,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,25,11,0,0,1,1,0.0,0.0,0.0
0,38,8,0,0,1,1,20830.919921875,16811.130859375,0.0
0,39,13,0,0,1,0,17672.58984375,8772.5810546875,1644.7099609375
0,31,8,0,0,1,1,16663.560546875,13414.8896484375,13352.740234375
0,35,14,0,0,1,0,3413.04296875,13074.73046875,0.0
0,18,10,0,0,0,1,1590.925048828125,1652.468017578125,12136.5703125
0,40,12,0,0,1,0,23389.73046875,17235.439453125,25564.669921875
0,52,12,0,0,0,0,12323.7900390625,11905.650390625,11836.58984375
0,27,12,0,0,1,0,25799.630859375,25243.55078125,25564.669921875
0,32,18,0,0,1,0,18111.4609375,19013.23046875,21827.5
0,24,16,0,0,0,0,6734.0,5347.69384765625,3641.117919921875
0,37,12,0,0,0,0,0.0,0.0,0.0
0,21,12,0,1,0,0,17721.5703125,18760.7890625,6781.287109375
0,30,10,0,0,1,1,23129.140625,23959.890625,20806.390625
0,53,13,1,0,0,0,9194.8388671875,8600.7099609375,8662.4326171875
0,40,9,0,0,1,1,16091.4599609375,14571.4404296875,15832.3603515625
0,31,7,1,0,1,1,17862.640625,19459.01953125,15788.0302734375
0,36,4,0,0,1,1,17535.439453125,17187.099609375,20147.3203125
0,18,12,0,0,0,0,0.0,3938.7099609375,12871.0
0,27,10,0,0,0,1,12349.259765625,5865.09716796875,9297.8564453125
0,51,4,1,0,1,1,23325.0703125,24409.259765625,25564.669921875
0,37,8,1,0,0,1,0.0,0.0,648.7219848632812
0,31,16,0,0,1,0,21416.75,22423.7890625,25564.669921875
0,35,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,22,12,0,0,0,0,6518.48095703125,11794.650390625,20887.669921875
0,18,11,1,0,0,1,1716.3179931640625,4139.22607421875,8372.798828125
0,40,7,0,0,0,1,13769.73046875,12738.150390625,13003.990234375
0,48,11,0,1,0,1,25862.3203125,25243.55078125,25564.669921875
0,38,12,0,0,1,0,21138.529296875,23907.970703125,25564.669921875
0,54,13,0,0,1,0,22860.73046875,22644.0,25564.669921875
0,32,10,1,0,1,1,18550.33984375,9019.64453125,15564.8896484375
0,20,12,0,0,0,0,305.6455993652344,4178.61279296875,13791.6201171875
0,24,10,0,0,1,1,5523.1728515625,0.0,5040.52490234375
0,29,12,0,0,1,0,7731.26708984375,20096.369140625,20271.44921875
0,31,12,0,0,1,0,25862.3203125,25035.869140625,23101.30078125
0,29,12,0,0,1,0,24198.900390625,23967.05078125,25564.669921875
0,17,11,0,0,0,1,766.0733032226562,614.0806274414062,694.531494140625
0,47,8,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
0,41,12,0,1,1,0,8850.0078125,13307.4697265625,13937.919921875
0,16,10,0,0,0,1,476.101806640625,900.5322875976562,91.61904907226562
0,45,12,0,0,1,0,25862.3203125,20415.05078125,25564.669921875
0,47,18,0,0,1,0,22537.44921875,23279.560546875,25564.669921875
0,46,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,28,9,0,0,1,1,19735.689453125,18171.76953125,16816.529296875
0,26,15,0,0,0,0,25862.3203125,23811.2890625,25564.669921875
0,25,5,0,0,1,1,491.7760009765625,0.0,0.0
0,27,12,0,0,1,0,18957.869140625,16293.73046875,0.0
0,28,15,0,0,1,0,15979.7802734375,0.0,7520.15087890625
0,52,12,0,0,1,0,25862.3203125,22540.16015625,20629.060546875
0,48,15,1,0,1,0,19986.48046875,21970.83984375,23030.369140625
0,32,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,20,12,0,0,0,0,16077.740234375,17342.849609375,22652.0703125
0,38,12,0,0,1,0,0.0,0.0,0.0
0,25,12,0,0,0,0,4678.72900390625,8360.8056640625,7474.3408203125
0,31,12,0,0,1,0,25862.3203125,25100.3203125,25564.669921875
0,55,12,1,0,0,0,1833.8740234375,4694.22607421875,0.0
0,42,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
0,19,12,0,1,0,0,5640.72900390625,11252.1796875,12899.080078125
0,34,12,0,0,1,0,25862.3203125,24760.16015625,0.0
0,46,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
0,48,9,0,0,1,1,0.0,0.0,0.0
0,24,6,1,0,1,1,2874.243896484375,2903.903076171875,5401.0908203125
