crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
47.7400,18199167.0000,380432.0000,0,49.1000,17621530.0000,413059.0000,0,48.3600,17372569.0000,270567.0000,0,47.8200,17135340.0000,158840.0000,0,47.6200,16894649.0000,48740.0000,0,46.9900,16672597.0000,4331.0000,0
47.0200,18401140.0000,448162.0000,0,47.7400,18199167.0000,380432.0000,0,49.1000,17621530.0000,413059.0000,0,48.3600,17372569.0000,270567.0000,0,47.8200,17135340.0000,158840.0000,0,47.6200,16894649.0000,48740.0000,0
48.1200,18626923.0000,571689.0000,0,47.0200,18401140.0000,448162.0000,0,47.7400,18199167.0000,380432.0000,0,49.1000,17621530.0000,413059.0000,0,48.3600,17372569.0000,270567.0000,0,47.8200,17135340.0000,158840.0000,0
47.6200,19481171.0000,586204.0000,0,48.1200,18626923.0000,571689.0000,0,47.0200,18401140.0000,448162.0000,0,47.7400,18199167.0000,380432.0000,0,49.1000,17621530.0000,413059.0000,0,48.3600,17372569.0000,270567.0000,0
48.0000,19682867.0000,716383.0000,0,47.6200,19481171.0000,586204.0000,0,48.1200,18626923.0000,571689.0000,0,47.0200,18401140.0000,448162.0000,0,47.7400,18199167.0000,380432.0000,0,49.1000,17621530.0000,413059.0000,0
48.4000,19905794.0000,836817.0000,0,48.0000,19682867.0000,716383.0000,0,47.6200,19481171.0000,586204.0000,0,48.1200,18626923.0000,571689.0000,0,47.0200,18401140.0000,448162.0000,0,47.7400,18199167.0000,380432.0000,0
48.5200,20163903.0000,420096.0000,1,48.4000,19905794.0000,836817.0000,0,48.0000,19682867.0000,716383.0000,0,47.6200,19481171.0000,586204.0000,0,48.1200,18626923.0000,571689.0000,0,47.0200,18401140.0000,448162.0000,0
47.6200,21011352.0000,650393.0000,0,48.5200,20163903.0000,420096.0000,1,48.4000,19905794.0000,836817.0000,0,48.0000,19682867.0000,716383.0000,0,47.6200,19481171.0000,586204.0000,0,48.1200,18626923.0000,571689.0000,0
49.9300,21242613.0000,823809.0000,0,47.6200,21011352.0000,650393.0000,0,48.5200,20163903.0000,420096.0000,1,48.4000,19905794.0000,836817.0000,0,48.0000,19682867.0000,716383.0000,0,47.6200,19481171.0000,586204.0000,0
50.6300,21499479.0000,1013679.0000,0,49.9300,21242613.0000,823809.0000,0,47.6200,21011352.0000,650393.0000,0,48.5200,20163903.0000,420096.0000,1,48.4000,19905794.0000,836817.0000,0,48.0000,19682867.0000,716383.0000,0
50.8300,21788120.0000,1161790.0000,0,50.6300,21499479.0000,1013679.0000,0,49.9300,21242613.0000,823809.0000,0,47.6200,21011352.0000,650393.0000,0,48.5200,20163903.0000,420096.0000,1,48.4000,19905794.0000,836817.0000,0
52.2400,22091612.0000,1228764.0000,0,50.8300,21788120.0000,1161790.0000,0,50.6300,21499479.0000,1013679.0000,0,49.9300,21242613.0000,823809.0000,0,47.6200,21011352.0000,650393.0000,0,48.5200,20163903.0000,420096.0000,1
52.2500,22775381.0000,1065676.0000,0,52.2400,22091612.0000,1228764.0000,0,50.8300,21788120.0000,1161790.0000,0,50.6300,21499479.0000,1013679.0000,0,49.9300,21242613.0000,823809.0000,0,47.6200,21011352.0000,650393.0000,0
