crudeoil	cases	vaccines	holidays	crudeoil:1	cases:1	vaccines:1	holidays:1	crudeoil:2	cases:2	vaccines:2	holidays:2	crudeoil:3	cases:3	vaccines:3	holidays:3	crudeoil:4	cases:4	vaccines:4	holidays:4	crudeoil:5	cases:5	vaccines:5	holidays:5
*	202571.0000	180744.0000	0	49.1000	248961.0000	413185.0000	0	48.3600	237228.0000	270632.0000	0	47.8200	240691.0000	158889.0000	0	47.6200	222051.0000	48765.0000	0	46.9900	200631.0000	4338.0000	0
*	185349.0000	104264.0000	0	*	202571.0000	180744.0000	0	49.1000	248961.0000	413185.0000	0	48.3600	237228.0000	270632.0000	0	47.8200	240691.0000	158889.0000	0	47.6200	222051.0000	48765.0000	0
47.7400	189717.0000	380539.0000	0	*	185349.0000	104264.0000	0	*	202571.0000	180744.0000	0	49.1000	248961.0000	413185.0000	0	48.3600	237228.0000	270632.0000	0	47.8200	240691.0000	158889.0000	0
47.0200	201972.0000	448251.0000	0	47.7400	189717.0000	380539.0000	0	*	185349.0000	104264.0000	0	*	202571.0000	180744.0000	0	49.1000	248961.0000	413185.0000	0	48.3600	237228.0000	270632.0000	0
48.1200	225783.0000	571835.0000	0	47.0200	201972.0000	448251.0000	0	47.7400	189717.0000	380539.0000	0	*	185349.0000	104264.0000	0	*	202571.0000	180744.0000	0	49.1000	248961.0000	413185.0000	0
*	204888.0000	195541.0000	1	48.1200	225783.0000	571835.0000	0	47.0200	201972.0000	448251.0000	0	47.7400	189717.0000	380539.0000	0	*	185349.0000	104264.0000	0	*	202571.0000	180744.0000	0
*	108684.0000	12572.0000	1	*	204888.0000	195541.0000	1	48.1200	225783.0000	571835.0000	0	47.0200	201972.0000	448251.0000	0	47.7400	189717.0000	380539.0000	0	*	185349.0000	104264.0000	0
*	218993.0000	140812.0000	0	*	108684.0000	12572.0000	1	*	204888.0000	195541.0000	1	48.1200	225783.0000	571835.0000	0	47.0200	201972.0000	448251.0000	0	47.7400	189717.0000	380539.0000	0
*	154995.0000	96330.0000	0	*	218993.0000	140812.0000	0	*	108684.0000	12572.0000	1	*	204888.0000	195541.0000	1	48.1200	225783.0000	571835.0000	0	47.0200	201972.0000	448251.0000	0
47.6200	166686.0000	586373.0000	0	*	154995.0000	96330.0000	0	*	218993.0000	140812.0000	0	*	108684.0000	12572.0000	1	*	204888.0000	195541.0000	1	48.1200	225783.0000	571835.0000	0
48.0000	201697.0000	716621.0000	0	47.6200	166686.0000	586373.0000	0	*	154995.0000	96330.0000	0	*	218993.0000	140812.0000	0	*	108684.0000	12572.0000	1	*	204888.0000	195541.0000	1
