crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three
null,202571,180744,0,49.099998,248961,413185,0,48.360001,237228,270632,0,47.82,240691,158889,0
null,185349,104264,0,null,202571,180744,0,49.099998,248961,413185,0,48.360001,237228,270632,0
47.740002,189717,380539,0,null,185349,104264,0,null,202571,180744,0,49.099998,248961,413185,0
47.02,201972,448251,0,47.740002,189717,380539,0,null,185349,104264,0,null,202571,180744,0
48.119999,225783,571835,0,47.02,201972,448251,0,47.740002,189717,380539,0,null,185349,104264,0
null,204888,195541,1,48.119999,225783,571835,0,47.02,201972,448251,0,47.740002,189717,380539,0
null,108684,12572,1,null,204888,195541,1,48.119999,225783,571835,0,47.02,201972,448251,0
null,218993,140812,0,null,108684,12572,1,null,204888,195541,1,48.119999,225783,571835,0
null,154995,96330,0,null,218993,140812,0,null,108684,12572,1,null,204888,195541,1
47.619999,166686,586373,0,null,154995,96330,0,null,218993,140812,0,null,108684,12572,1
48,201697,716621,0,47.619999,166686,586373,0,null,154995,96330,0,null,218993,140812,0
48.400002,222929,837066,0,48,201697,716621,0,47.619999,166686,586373,0,null,154995,96330,0
48.52,258110,420280,1,48.400002,222929,837066,0,48,201697,716621,0,47.619999,166686,586373,0
null,166253,85577,1,48.52,258110,420280,1,48.400002,222929,837066,0,48,201697,716621,0
null,295883,261135,0,null,166253,85577,1,48.52,258110,420280,1,48.400002,222929,837066,0
null,203650,136604,0,null,295883,261135,0,null,166253,85577,1,48.52,258110,420280,1
47.619999,181668,650677,0,null,203650,136604,0,null,295883,261135,0,null,166253,85577,1
49.93,231270,824151,0,47.619999,181668,650677,0,null,203650,136604,0,null,295883,261135,0
50.630001,256885,1013971,0,49.93,231270,824151,0,47.619999,181668,650677,0,null,203650,136604,0
50.830002,288631,1162310,0,50.630001,256885,1013971,0,49.93,231270,824151,0,47.619999,181668,650677,0
52.240002,303487,1229154,0,50.830002,288631,1162310,0,50.630001,256885,1013971,0,49.93,231270,824151,0
null,259534,506006,0,52.240002,303487,1229154,0,50.830002,288631,1162310,0,50.630001,256885,1013971,0
null,213376,248774,0,null,259534,506006,0,52.240002,303487,1229154,0,50.830002,288631,1162310,0
52.25,210836,1065987,0,null,213376,248774,0,null,259534,506006,0,52.240002,303487,1229154,0
53.209999,218902,1252841,0,52.25,210836,1065987,0,null,213376,248774,0,null,259534,506006,0
52.91,229843,1318682,0,53.209999,218902,1252841,0,52.25,210836,1065987,0,null,213376,248774,0
53.57,238043,1307715,0,52.91,229843,1318682,0,53.209999,218902,1252841,0,52.25,210836,1065987,0
52.360001,247026,1260078,0,53.57,238043,1307715,0,52.91,229843,1318682,0,53.209999,218902,1252841,0
null,208632,654743,0,52.360001,247026,1260078,0,53.57,238043,1307715,0,52.91,229843,1318682,0
null,176588,306662,0,null,208632,654743,0,52.360001,247026,1260078,0,53.57,238043,1307715,0
null,141072,884235,1,null,176588,306662,0,null,208632,654743,0,52.360001,247026,1260078,0
52.98,164287,1348733,0,null,141072,884235,1,null,176588,306662,0,null,208632,654743,0
53.240002,185392,1623293,0,52.98,164287,1348733,0,null,141072,884235,1,null,176588,306662,0
53.130001,192327,1644030,0,53.240002,185392,1623293,0,52.98,164287,1348733,0,null,141072,884235,1
52.27,189527,1619533,0,53.130001,192327,1644030,0,53.240002,185392,1623293,0,52.98,164287,1348733,0
null,174863,905280,0,52.27,189527,1619533,0,53.130001,192327,1644030,0,53.240002,185392,1623293,0
null,137834,396030,0,null,174863,905280,0,52.27,189527,1619533,0,53.130001,192327,1644030,0
52.77,142118,1367390,0,null,137834,396030,0,null,174863,905280,0,52.27,189527,1619533,0
52.610001,144784,1655725,0,52.77,142118,1367390,0,null,137834,396030,0,null,174863,905280,0
52.849998,155137,1922743,0,52.610001,144784,1655725,0,52.77,142118,1367390,0,null,137834,396030,0
52.34,167436,1953753,0,52.849998,155137,1922743,0,52.610001,144784,1655725,0,52.77,142118,1367390,0
52.200001,165847,1907882,0,52.34,167436,1953753,0,52.849998,155137,1922743,0,52.610001,144784,1655725,0
null,145684,1019431,0,52.200001,165847,1907882,0,52.34,167436,1953753,0,52.849998,155137,1922743,0
null,115429,461855,0,null,145684,1019431,0,52.200001,165847,1907882,0,52.34,167436,1953753,0
53.549999,129368,1367800,0,null,115429,461855,0,null,145684,1019431,0,52.200001,165847,1907882,0
